treatment_id,animal_id,health_record_id,disease,diagnosis_date,treatment_start_date,medicine,medicine_type,dose,duration_days,veterinarian,isolation_advised,outcome,followup_date,cost_inr
TR0138,DS064,HR0084,Lumpy_Skin_Disease,2026-08-28,2026-08-29,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-09-04,2650
TR0139,DS064,HR0084,Lumpy_Skin_Disease,2026-08-28,2026-08-29,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-09-03,700
TR0140,DS064,HR0084,Lumpy_Skin_Disease,2026-08-28,2026-08-28,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-09-13,3500
TR0141,DS064,HR0084,Lumpy_Skin_Disease,2026-08-28,2026-08-28,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Recovered,2026-09-17,1550
TR0142,DS067,HR0088,Healthy,2026-07-29,2026-07-29,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. V. Thorat,No,Recovered,2026-08-06,2400
TR0143,DS068,HR0089,Healthy,2026-09-05,2026-09-06,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. S. Joshi,No,Recovered,2026-09-12,950
TR0144,DS069,HR0090,Ringworm,2026-07-12,2026-07-13,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-07-28,1050
TR0145,DS069,HR0090,Ringworm,2026-07-12,2026-07-13,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-07-31,1250
TR0146,DS070,HR0092,Lumpy_Skin_Disease,2026-09-16,2026-09-16,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Under treatment,2026-09-25,350
TR0147,DS070,HR0092,Lumpy_Skin_Disease,2026-09-16,2026-09-16,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Under treatment,2026-09-21,1850
TR0148,DS070,HR0092,Lumpy_Skin_Disease,2026-09-16,2026-09-17,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Under treatment,2026-10-01,650
TR0149,DS071,HR0093,Foot_Mouth_Disease,2026-08-10,2026-08-10,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. S. Joshi,Yes,Under treatment,2026-08-21,3250
TR0150,DS071,HR0093,Foot_Mouth_Disease,2026-08-10,2026-08-10,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Under treatment,2026-08-17,300
TR0151,DS071,HR0093,Foot_Mouth_Disease,2026-08-10,2026-08-10,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Under treatment,2026-08-27,2350
TR0152,DS072,HR0094,Lumpy_Skin_Disease,2026-06-11,2026-06-12,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-06-20,1850
TR0153,DS072,HR0094,Lumpy_Skin_Disease,2026-06-11,2026-06-12,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Recovered,2026-06-19,550
TR0154,DS072,HR0094,Lumpy_Skin_Disease,2026-06-11,2026-06-11,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-06-25,400
TR0155,DS072,HR0094,Lumpy_Skin_Disease,2026-06-11,2026-06-11,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. M. Sawant,Yes,Recovered,2026-07-02,2150
TR0156,DS074,HR0097,Healthy,2026-06-17,2026-06-17,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. A. Kulkarni,No,Recovered,2026-06-24,3050
TR0157,DS075,HR0098,Mastitis,2026-07-23,2026-07-23,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-08-02,1950
TR0158,DS075,HR0098,Mastitis,2026-07-23,2026-07-23,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-08-02,950
TR0159,DS075,HR0098,Mastitis,2026-07-23,2026-07-24,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Recovered,2026-08-13,1550
TR0160,DS076,HR0100,Mastitis,2026-08-25,2026-08-26,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-09-03,1950
TR0161,DS076,HR0100,Mastitis,2026-08-25,2026-08-26,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-08-31,3100
TR0162,DS076,HR0100,Mastitis,2026-08-25,2026-08-25,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Recovered,2026-09-13,3200
TR0163,DS078,HR0103,Healthy,2026-06-28,2026-06-29,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. A. Kulkarni,No,Recovered,2026-07-03,800
TR0164,DS079,HR0104,Mastitis,2026-05-31,2026-05-31,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,No,Under treatment,2026-06-08,1600
TR0165,DS079,HR0104,Mastitis,2026-05-31,2026-05-31,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,No,Under treatment,2026-06-10,2700
TR0166,DS079,HR0104,Mastitis,2026-05-31,2026-05-31,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Under treatment,2026-06-17,900
TR0167,DS080,HR0105,Lumpy_Skin_Disease,2026-06-27,2026-06-27,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-07-04,2850
TR0168,DS080,HR0105,Lumpy_Skin_Disease,2026-06-27,2026-06-27,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-07-04,1900
TR0169,DS080,HR0105,Lumpy_Skin_Disease,2026-06-27,2026-06-27,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-07-10,2000
TR0170,DS080,HR0105,Lumpy_Skin_Disease,2026-06-27,2026-06-27,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Recovered,2026-07-18,2250
TR0171,DS082,HR0108,Healthy,2026-08-05,2026-08-06,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. S. Joshi,No,Recovered,2026-09-06,3300
TR0172,DS083,HR0109,Mastitis,2026-09-11,2026-09-11,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,No,Recovered,2026-09-22,2000
TR0173,DS083,HR0109,Mastitis,2026-09-11,2026-09-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,No,Recovered,2026-09-18,2300
TR0174,DS083,HR0109,Mastitis,2026-09-11,2026-09-11,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. M. Sawant,No,Recovered,2026-09-28,2400
TR0175,DS085,HR0111,Ringworm,2026-06-02,2026-06-03,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-06-20,2200
TR0176,DS085,HR0111,Ringworm,2026-06-02,2026-06-03,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-06-18,2450
TR0177,DS086,HR0113,Lumpy_Skin_Disease,2026-08-31,2026-08-31,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-09-09,950
TR0178,DS086,HR0113,Lumpy_Skin_Disease,2026-08-31,2026-08-31,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,Yes,Recovered,2026-09-10,1350
TR0179,DS086,HR0113,Lumpy_Skin_Disease,2026-08-31,2026-08-31,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-09-16,1150
TR0180,DS086,HR0113,Lumpy_Skin_Disease,2026-08-31,2026-09-01,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. A. Kulkarni,Yes,Recovered,2026-09-17,1300
TR0181,DS089,HR0117,Lumpy_Skin_Disease,2026-08-05,2026-08-06,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Under treatment,2026-08-12,400
TR0182,DS089,HR0117,Lumpy_Skin_Disease,2026-08-05,2026-08-05,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Under treatment,2026-08-15,1350
TR0183,DS089,HR0117,Lumpy_Skin_Disease,2026-08-05,2026-08-05,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Under treatment,2026-08-18,1400
TR0184,DS089,HR0117,Lumpy_Skin_Disease,2026-08-05,2026-08-06,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Under treatment,2026-08-23,2900
TR0185,DS090,HR0118,Healthy,2026-06-12,2026-06-12,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-06-16,1250
TR0186,DS093,HR0121,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Under treatment,2026-08-27,650
TR0187,DS093,HR0121,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Under treatment,2026-08-26,1650
TR0188,DS093,HR0121,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Under treatment,2026-09-05,1850
TR0189,DS093,HR0121,Lumpy_Skin_Disease,2026-08-20,2026-08-21,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Under treatment,2026-09-07,1850
TR0190,DS094,HR0122,Foot_Mouth_Disease,2026-08-21,2026-08-21,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Under treatment,2026-09-02,2800
TR0191,DS094,HR0122,Foot_Mouth_Disease,2026-08-21,2026-08-21,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Under treatment,2026-08-29,2200
TR0192,DS098,HR0126,Mastitis,2026-08-22,2026-08-23,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,No,Referred to lab,2026-08-29,400
TR0193,DS098,HR0126,Mastitis,2026-08-22,2026-08-22,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,No,Referred to lab,2026-08-31,1800
TR0194,DS099,HR0127,Healthy,2026-07-30,2026-07-30,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. M. Sawant,No,Recovered,2026-08-06,250
TR0195,DS101,HR0129,Ringworm,2026-07-22,2026-07-22,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-08-12,450
TR0196,DS102,HR0131,Lumpy_Skin_Disease,2026-07-17,2026-07-18,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-07-24,2900
TR0197,DS102,HR0131,Lumpy_Skin_Disease,2026-07-17,2026-07-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Recovered,2026-07-23,300
TR0198,DS102,HR0131,Lumpy_Skin_Disease,2026-07-17,2026-07-18,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-08-03,1900
TR0199,DS102,HR0131,Lumpy_Skin_Disease,2026-07-17,2026-07-17,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Recovered,2026-08-02,2550
TR0200,DS104,HR0134,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-08-03,3400
TR0201,DS104,HR0134,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Recovered,2026-07-28,3350
TR0202,DS104,HR0134,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-08-05,400
TR0203,DS104,HR0134,Lumpy_Skin_Disease,2026-07-22,2026-07-23,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Recovered,2026-08-07,1000
TR0204,DS105,HR0136,Mastitis,2026-08-15,2026-08-16,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,No,Recovered,2026-08-26,2100
TR0205,DS105,HR0136,Mastitis,2026-08-15,2026-08-16,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,No,Recovered,2026-08-25,600
TR0206,DS105,HR0136,Mastitis,2026-08-15,2026-08-16,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-09-02,2150
TR0207,DS107,HR0139,Foot_Mouth_Disease,2026-07-20,2026-07-21,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. V. Thorat,Yes,Recovered,2026-08-03,1300
TR0208,DS107,HR0139,Foot_Mouth_Disease,2026-07-20,2026-07-21,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-07-30,3150
TR0209,DS108,HR0141,Mastitis,2026-08-27,2026-08-27,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,No,Recovered,2026-09-06,1550
TR0210,DS108,HR0141,Mastitis,2026-08-27,2026-08-28,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,No,Recovered,2026-09-02,850
TR0211,DS108,HR0141,Mastitis,2026-08-27,2026-08-27,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Recovered,2026-09-12,2600
TR0212,DS110,HR0144,Foot_Mouth_Disease,2026-07-10,2026-07-11,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. P. Naik,Yes,Recovered,2026-07-19,500
TR0213,DS110,HR0144,Foot_Mouth_Disease,2026-07-10,2026-07-10,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-07-19,3150
TR0214,DS110,HR0144,Foot_Mouth_Disease,2026-07-10,2026-07-10,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-07-27,2550
TR0215,DS111,HR0146,Lumpy_Skin_Disease,2026-05-22,2026-05-23,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Under treatment,2026-05-30,1850
TR0216,DS111,HR0146,Lumpy_Skin_Disease,2026-05-22,2026-05-23,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Under treatment,2026-05-28,3150
TR0217,DS111,HR0146,Lumpy_Skin_Disease,2026-05-22,2026-05-23,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Under treatment,2026-06-04,3050
TR0218,DS111,HR0146,Lumpy_Skin_Disease,2026-05-22,2026-05-23,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Under treatment,2026-06-08,350
TR0219,DS114,HR0149,Foot_Mouth_Disease,2026-09-10,2026-09-11,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Referred to lab,2026-09-20,1650
TR0220,DS114,HR0149,Foot_Mouth_Disease,2026-09-10,2026-09-11,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Referred to lab,2026-09-21,2450
TR0221,DS115,HR0150,Mastitis,2026-05-11,2026-05-11,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,No,Referred to lab,2026-05-22,500
TR0222,DS115,HR0150,Mastitis,2026-05-11,2026-05-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,No,Referred to lab,2026-05-17,1750
TR0223,DS115,HR0150,Mastitis,2026-05-11,2026-05-11,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Referred to lab,2026-05-27,2650
TR0224,DS117,HR0152,Mastitis,2026-08-20,2026-08-20,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,No,Referred to lab,2026-08-28,1800
TR0225,DS117,HR0152,Mastitis,2026-08-20,2026-08-20,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,No,Referred to lab,2026-08-26,400
TR0226,DS117,HR0152,Mastitis,2026-08-20,2026-08-20,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Referred to lab,2026-09-05,3000
TR0227,DS118,HR0153,Mastitis,2026-08-17,2026-08-18,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,No,Under treatment,2026-08-27,2600
TR0228,DS118,HR0153,Mastitis,2026-08-17,2026-08-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,No,Under treatment,2026-08-22,1550
TR0229,DS118,HR0153,Mastitis,2026-08-17,2026-08-17,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Under treatment,2026-09-05,900
TR0230,DS119,HR0154,Lumpy_Skin_Disease,2026-08-24,2026-08-25,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Under treatment,2026-09-02,1600
TR0231,DS119,HR0154,Lumpy_Skin_Disease,2026-08-24,2026-08-24,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Under treatment,2026-08-29,1450
TR0232,DS119,HR0154,Lumpy_Skin_Disease,2026-08-24,2026-08-24,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Under treatment,2026-09-09,1550
TR0233,DS120,HR0155,Lumpy_Skin_Disease,2026-07-17,2026-07-18,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-07-24,3250
TR0234,DS120,HR0155,Lumpy_Skin_Disease,2026-07-17,2026-07-17,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Recovered,2026-07-22,950
TR0235,DS120,HR0155,Lumpy_Skin_Disease,2026-07-17,2026-07-17,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-07-29,950
TR0236,DS120,HR0155,Lumpy_Skin_Disease,2026-07-17,2026-07-17,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Recovered,2026-08-04,1100
TR0237,DS121,HR0157,Mastitis,2026-08-19,2026-08-20,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Referred to lab,2026-08-26,3050
TR0238,DS121,HR0157,Mastitis,2026-08-19,2026-08-20,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Referred to lab,2026-08-29,2950
TR0239,DS121,HR0157,Mastitis,2026-08-19,2026-08-20,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Referred to lab,2026-09-06,550
TR0240,DS122,HR0158,Mastitis,2026-06-26,2026-06-26,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,No,Under treatment,2026-07-03,3400
TR0241,DS122,HR0158,Mastitis,2026-06-26,2026-06-27,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,No,Under treatment,2026-07-05,2950
TR0242,DS122,HR0158,Mastitis,2026-06-26,2026-06-26,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Under treatment,2026-07-17,2250
TR0243,DS123,HR0159,Foot_Mouth_Disease,2026-09-18,2026-09-19,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. V. Thorat,Yes,Recovered,2026-09-27,2550
TR0244,DS123,HR0159,Foot_Mouth_Disease,2026-09-18,2026-09-18,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-09-26,2850
TR0245,DS123,HR0159,Foot_Mouth_Disease,2026-09-18,2026-09-19,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-09-30,1450
TR0246,DS124,HR0160,Healthy,2026-06-15,2026-06-15,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. R. Deshpande,No,Recovered,2026-07-18,2500
TR0247,DS126,HR0162,Foot_Mouth_Disease,2026-09-20,2026-09-21,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Recovered,2026-10-03,1150
TR0248,DS126,HR0162,Foot_Mouth_Disease,2026-09-20,2026-09-21,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-09-27,1300
TR0249,DS126,HR0162,Foot_Mouth_Disease,2026-09-20,2026-09-20,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-10-07,900
TR0250,DS127,HR0163,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-08-03,1700
TR0251,DS127,HR0163,Lumpy_Skin_Disease,2026-07-22,2026-07-23,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Recovered,2026-07-29,400
TR0252,DS127,HR0163,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-08-06,700
TR0253,DS127,HR0163,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. M. Sawant,Yes,Recovered,2026-08-12,3050
TR0254,DS129,HR0166,Ringworm,2026-05-18,2026-05-19,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. V. Thorat,No,Recovered,2026-06-03,3050
TR0255,DS130,HR0168,Healthy,2026-07-23,2026-07-24,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. V. Thorat,No,Recovered,2026-07-26,600
TR0256,DS131,HR0169,Mastitis,2026-09-18,2026-09-19,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,No,Under treatment,2026-09-26,1950
TR0257,DS131,HR0169,Mastitis,2026-09-18,2026-09-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,No,Under treatment,2026-09-25,400
TR0258,DS132,HR0170,Foot_Mouth_Disease,2026-05-22,2026-05-22,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Recovered,2026-05-31,350
TR0259,DS132,HR0170,Foot_Mouth_Disease,2026-05-22,2026-05-23,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-05-30,550
TR0260,DS133,HR0172,Lumpy_Skin_Disease,2026-09-06,2026-09-06,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-09-14,3000
TR0261,DS133,HR0172,Lumpy_Skin_Disease,2026-09-06,2026-09-06,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Recovered,2026-09-11,1600
TR0262,DS133,HR0172,Lumpy_Skin_Disease,2026-09-06,2026-09-06,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-09-20,1650
TR0263,DS133,HR0172,Lumpy_Skin_Disease,2026-09-06,2026-09-07,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Recovered,2026-09-26,3250
TR0264,DS136,HR0176,Lumpy_Skin_Disease,2026-08-09,2026-08-10,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-08-20,1700
TR0265,DS136,HR0176,Lumpy_Skin_Disease,2026-08-09,2026-08-10,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,Yes,Recovered,2026-08-15,1000
TR0266,DS136,HR0176,Lumpy_Skin_Disease,2026-08-09,2026-08-10,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-08-23,3200
TR0267,DS136,HR0176,Lumpy_Skin_Disease,2026-08-09,2026-08-09,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. A. Kulkarni,Yes,Recovered,2026-08-26,350
TR0268,DS137,HR0178,Foot_Mouth_Disease,2026-05-20,2026-05-21,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. P. Naik,Yes,Recovered,2026-06-03,1500
TR0269,DS137,HR0178,Foot_Mouth_Disease,2026-05-20,2026-05-20,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-05-28,1000
TR0270,DS137,HR0178,Foot_Mouth_Disease,2026-05-20,2026-05-21,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-06-02,400
TR0271,DS138,HR0180,Foot_Mouth_Disease,2026-07-15,2026-07-16,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. R. Deshpande,Yes,Recovered,2026-07-25,3450
TR0272,DS138,HR0180,Foot_Mouth_Disease,2026-07-15,2026-07-15,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-07-23,2250
TR0273,DS139,HR0182,Healthy,2026-07-04,2026-07-04,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. A. Kulkarni,No,Recovered,2026-08-10,1600
TR0274,DS140,HR0183,Lumpy_Skin_Disease,2026-09-01,2026-09-01,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-09-13,3350
