vaccination_id,animal_id,vaccine,disease_covered,date_given,next_due_date,batch_number,administered_by,status,schedule
VC0231,DS058,BQ,Black Quarter,2025-12-09,2026-12-09,BQ-2512,Dr. P. Naik,Completed,Every 12 months
VC0232,DS058,LSD,Lumpy Skin Disease,2026-06-04,2027-06-04,LSD-2592,Dr. P. Naik,Completed,Every 12 months
VC0233,DS059,FMD,Foot-and-Mouth Disease,2026-08-05,2027-02-03,FMD-2544,Dr. S. Joshi,Completed,Every 6 months
VC0234,DS059,HS,Haemorrhagic Septicaemia,2025-11-30,2026-11-30,HS-2604,Dr. V. Thorat,Completed,Every 12 months
VC0235,DS059,BQ,Black Quarter,2026-03-20,2027-03-20,BQ-2561,Dr. R. Deshpande,Completed,Every 12 months
VC0236,DS059,Brucellosis,Brucellosis,2026-01-22,,Brucellosis-2505,Dr. V. Thorat,Completed,One-time (calfhood)
VC0237,DS059,LSD,Lumpy Skin Disease,2026-06-05,2027-06-05,LSD-2504,Dr. M. Sawant,Completed,Every 12 months
VC0238,DS060,FMD,Foot-and-Mouth Disease,2026-05-31,2026-11-29,FMD-2512,Dr. R. Deshpande,Completed,Every 6 months
VC0239,DS060,HS,Haemorrhagic Septicaemia,2026-07-04,2027-07-04,HS-2522,Dr. R. Deshpande,Completed,Every 12 months
VC0240,DS060,BQ,Black Quarter,,,,,Due,
VC0241,DS060,LSD,Lumpy Skin Disease,2026-03-31,2027-03-31,LSD-2520,Dr. A. Kulkarni,Completed,Every 12 months
VC0242,DS061,FMD,Foot-and-Mouth Disease,2026-05-24,2026-11-22,FMD-2565,Dr. M. Sawant,Completed,Every 6 months
VC0243,DS061,HS,Haemorrhagic Septicaemia,2026-07-13,2027-07-13,HS-2560,Dr. V. Thorat,Completed,Every 12 months
VC0244,DS061,BQ,Black Quarter,2026-02-02,2027-02-02,BQ-2591,Dr. A. Kulkarni,Completed,Every 12 months
VC0245,DS061,LSD,Lumpy Skin Disease,,,,,Due,
VC0246,DS062,FMD,Foot-and-Mouth Disease,2026-07-25,2027-01-23,FMD-2559,Dr. R. Deshpande,Completed,Every 6 months
VC0247,DS062,HS,Haemorrhagic Septicaemia,2026-05-15,2027-05-15,HS-2555,Dr. V. Thorat,Completed,Every 12 months
VC0248,DS062,BQ,Black Quarter,2026-06-07,2027-06-07,BQ-2502,Dr. R. Deshpande,Completed,Every 12 months
VC0249,DS062,LSD,Lumpy Skin Disease,2026-07-25,2027-07-25,LSD-2572,Dr. A. Kulkarni,Completed,Every 12 months
VC0250,DS063,FMD,Foot-and-Mouth Disease,2026-06-30,2026-12-29,FMD-2534,Dr. V. Thorat,Completed,Every 6 months
VC0251,DS063,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0252,DS063,BQ,Black Quarter,2025-10-16,2026-10-16,BQ-2595,Dr. A. Kulkarni,Scheduled,Every 12 months
VC0253,DS063,LSD,Lumpy Skin Disease,2026-02-09,2027-02-09,LSD-2597,Dr. P. Naik,Completed,Every 12 months
VC0254,DS064,FMD,Foot-and-Mouth Disease,2026-05-14,2026-11-12,FMD-2573,Dr. V. Thorat,Completed,Every 6 months
VC0255,DS064,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0256,DS064,BQ,Black Quarter,2026-04-16,2027-04-16,BQ-2579,Dr. P. Naik,Completed,Every 12 months
VC0257,DS064,LSD,Lumpy Skin Disease,,,,,Due,
VC0258,DS065,FMD,Foot-and-Mouth Disease,2026-06-12,2026-12-11,FMD-2505,Dr. R. Deshpande,Completed,Every 6 months
VC0259,DS065,HS,Haemorrhagic Septicaemia,2026-01-01,2027-01-01,HS-2611,Dr. R. Deshpande,Completed,Every 12 months
VC0260,DS065,BQ,Black Quarter,2026-06-27,2027-06-27,BQ-2545,Dr. S. Joshi,Completed,Every 12 months
VC0261,DS065,Brucellosis,Brucellosis,2026-02-07,,Brucellosis-2506,Dr. P. Naik,Completed,One-time (calfhood)
VC0262,DS065,LSD,Lumpy Skin Disease,2026-05-09,2027-05-09,LSD-2569,Dr. P. Naik,Completed,Every 12 months
VC0263,DS066,FMD,Foot-and-Mouth Disease,2026-07-30,2027-01-28,FMD-2585,Dr. S. Joshi,Completed,Every 6 months
VC0264,DS066,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0265,DS066,BQ,Black Quarter,2026-04-17,2027-04-17,BQ-2573,Dr. S. Joshi,Completed,Every 12 months
VC0266,DS066,LSD,Lumpy Skin Disease,2026-01-26,2027-01-26,LSD-2601,Dr. V. Thorat,Completed,Every 12 months
VC0267,DS067,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0268,DS067,HS,Haemorrhagic Septicaemia,2026-05-16,2027-05-16,HS-2597,Dr. R. Deshpande,Completed,Every 12 months
VC0269,DS067,BQ,Black Quarter,2025-11-20,2026-11-20,BQ-2557,Dr. P. Naik,Completed,Every 12 months
VC0270,DS067,LSD,Lumpy Skin Disease,2026-04-26,2027-04-26,LSD-2526,Dr. R. Deshpande,Completed,Every 12 months
VC0271,DS068,FMD,Foot-and-Mouth Disease,2026-06-20,2026-12-19,FMD-2605,Dr. S. Joshi,Completed,Every 6 months
VC0272,DS068,HS,Haemorrhagic Septicaemia,2025-12-23,2026-12-23,HS-2558,Dr. R. Deshpande,Completed,Every 12 months
VC0273,DS068,BQ,Black Quarter,2026-08-26,2027-08-26,BQ-2546,Dr. A. Kulkarni,Completed,Every 12 months
VC0274,DS068,LSD,Lumpy Skin Disease,2025-11-03,2026-11-03,LSD-2563,Dr. V. Thorat,Completed,Every 12 months
VC0275,DS069,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0276,DS069,HS,Haemorrhagic Septicaemia,2025-10-15,2026-10-15,HS-2601,Dr. S. Joshi,Scheduled,Every 12 months
VC0277,DS069,BQ,Black Quarter,2026-04-28,2027-04-28,BQ-2545,Dr. S. Joshi,Completed,Every 12 months
VC0278,DS069,LSD,Lumpy Skin Disease,2026-08-08,2027-08-08,LSD-2552,Dr. A. Kulkarni,Completed,Every 12 months
VC0279,DS070,FMD,Foot-and-Mouth Disease,2026-08-08,2027-02-06,FMD-2533,Dr. M. Sawant,Completed,Every 6 months
VC0280,DS070,HS,Haemorrhagic Septicaemia,2025-10-06,2026-10-06,HS-2584,Dr. M. Sawant,Scheduled,Every 12 months
VC0281,DS070,BQ,Black Quarter,2026-04-26,2027-04-26,BQ-2592,Dr. V. Thorat,Completed,Every 12 months
VC0282,DS070,Brucellosis,Brucellosis,2025-08-19,,Brucellosis-2523,Dr. A. Kulkarni,Completed,One-time (calfhood)
VC0283,DS070,LSD,Lumpy Skin Disease,,,,,Due,
VC0284,DS071,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0285,DS071,HS,Haemorrhagic Septicaemia,2025-11-21,2026-11-21,HS-2576,Dr. P. Naik,Completed,Every 12 months
VC0286,DS071,BQ,Black Quarter,2025-11-02,2026-11-02,BQ-2609,Dr. V. Thorat,Completed,Every 12 months
VC0287,DS071,LSD,Lumpy Skin Disease,2026-08-15,2027-08-15,LSD-2577,Dr. R. Deshpande,Completed,Every 12 months
VC0288,DS072,FMD,Foot-and-Mouth Disease,2026-04-13,2026-10-12,FMD-2540,Dr. M. Sawant,Scheduled,Every 6 months
VC0289,DS072,HS,Haemorrhagic Septicaemia,2025-10-23,2026-10-23,HS-2514,Dr. M. Sawant,Completed,Every 12 months
VC0290,DS072,BQ,Black Quarter,2026-08-30,2027-08-30,BQ-2509,Dr. R. Deshpande,Completed,Every 12 months
VC0291,DS072,LSD,Lumpy Skin Disease,,,,,Due,
VC0292,DS073,FMD,Foot-and-Mouth Disease,2026-04-20,2026-10-19,FMD-2514,Dr. M. Sawant,Scheduled,Every 6 months
VC0293,DS073,HS,Haemorrhagic Septicaemia,2026-04-03,2027-04-03,HS-2519,Dr. A. Kulkarni,Completed,Every 12 months
VC0294,DS073,BQ,Black Quarter,2025-10-18,2026-10-18,BQ-2538,Dr. P. Naik,Scheduled,Every 12 months
VC0295,DS073,LSD,Lumpy Skin Disease,2026-06-24,2027-06-24,LSD-2501,Dr. S. Joshi,Completed,Every 12 months
VC0296,DS074,FMD,Foot-and-Mouth Disease,2026-07-16,2027-01-14,FMD-2506,Dr. P. Naik,Completed,Every 6 months
VC0297,DS074,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0298,DS074,BQ,Black Quarter,2026-09-05,2027-09-05,BQ-2592,Dr. V. Thorat,Completed,Every 12 months
VC0299,DS074,LSD,Lumpy Skin Disease,2025-09-23,2026-09-23,LSD-2528,Dr. P. Naik,Scheduled,Every 12 months
VC0300,DS075,FMD,Foot-and-Mouth Disease,2026-06-06,2026-12-05,FMD-2610,Dr. P. Naik,Completed,Every 6 months
VC0301,DS075,HS,Haemorrhagic Septicaemia,2026-07-13,2027-07-13,HS-2528,Dr. S. Joshi,Completed,Every 12 months
VC0302,DS075,BQ,Black Quarter,2025-11-07,2026-11-07,BQ-2593,Dr. P. Naik,Completed,Every 12 months
VC0303,DS075,LSD,Lumpy Skin Disease,2026-02-10,2027-02-10,LSD-2586,Dr. V. Thorat,Completed,Every 12 months
VC0304,DS076,FMD,Foot-and-Mouth Disease,2026-04-13,2026-10-12,FMD-2535,Dr. R. Deshpande,Scheduled,Every 6 months
VC0305,DS076,HS,Haemorrhagic Septicaemia,2026-03-11,2027-03-11,HS-2516,Dr. R. Deshpande,Completed,Every 12 months
VC0306,DS076,BQ,Black Quarter,2025-12-23,2026-12-23,BQ-2514,Dr. R. Deshpande,Completed,Every 12 months
VC0307,DS076,LSD,Lumpy Skin Disease,2026-04-25,2027-04-25,LSD-2590,Dr. V. Thorat,Completed,Every 12 months
VC0308,DS077,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0309,DS077,HS,Haemorrhagic Septicaemia,2026-03-07,2027-03-07,HS-2538,Dr. P. Naik,Completed,Every 12 months
VC0310,DS077,BQ,Black Quarter,2025-10-03,2026-10-03,BQ-2553,Dr. M. Sawant,Scheduled,Every 12 months
VC0311,DS077,LSD,Lumpy Skin Disease,,,,,Due,
VC0312,DS078,FMD,Foot-and-Mouth Disease,2026-08-29,2027-02-27,FMD-2529,Dr. S. Joshi,Completed,Every 6 months
VC0313,DS078,HS,Haemorrhagic Septicaemia,2026-02-05,2027-02-05,HS-2574,Dr. V. Thorat,Completed,Every 12 months
VC0314,DS079,FMD,Foot-and-Mouth Disease,2026-04-02,2026-10-01,FMD-2563,Dr. A. Kulkarni,Scheduled,Every 6 months
VC0315,DS079,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0316,DS079,BQ,Black Quarter,,,,,Due,
VC0317,DS079,LSD,Lumpy Skin Disease,2025-10-28,2026-10-28,LSD-2516,Dr. M. Sawant,Completed,Every 12 months
VC0318,DS080,FMD,Foot-and-Mouth Disease,2026-06-17,2026-12-16,FMD-2533,Dr. V. Thorat,Completed,Every 6 months
VC0319,DS080,HS,Haemorrhagic Septicaemia,2026-08-26,2027-08-26,HS-2547,Dr. R. Deshpande,Completed,Every 12 months
VC0320,DS080,BQ,Black Quarter,,,,,Due,
VC0321,DS080,LSD,Lumpy Skin Disease,,,,,Due,
VC0322,DS081,FMD,Foot-and-Mouth Disease,2026-09-09,2027-03-10,FMD-2559,Dr. A. Kulkarni,Completed,Every 6 months
VC0323,DS081,HS,Haemorrhagic Septicaemia,2026-05-11,2027-05-11,HS-2594,Dr. R. Deshpande,Completed,Every 12 months
VC0324,DS081,BQ,Black Quarter,2026-05-07,2027-05-07,BQ-2550,Dr. M. Sawant,Completed,Every 12 months
VC0325,DS081,Brucellosis,Brucellosis,2026-02-18,,Brucellosis-2596,Dr. V. Thorat,Completed,One-time (calfhood)
VC0326,DS081,LSD,Lumpy Skin Disease,2025-12-07,2026-12-07,LSD-2611,Dr. A. Kulkarni,Completed,Every 12 months
VC0327,DS082,FMD,Foot-and-Mouth Disease,2026-08-16,2027-02-14,FMD-2504,Dr. A. Kulkarni,Completed,Every 6 months
VC0328,DS082,HS,Haemorrhagic Septicaemia,2026-06-28,2027-06-28,HS-2605,Dr. R. Deshpande,Completed,Every 12 months
VC0329,DS082,BQ,Black Quarter,2026-08-20,2027-08-20,BQ-2560,Dr. R. Deshpande,Completed,Every 12 months
VC0330,DS082,LSD,Lumpy Skin Disease,2026-05-01,2027-05-01,LSD-2594,Dr. S. Joshi,Completed,Every 12 months
VC0331,DS083,FMD,Foot-and-Mouth Disease,2026-04-04,2026-10-03,FMD-2524,Dr. A. Kulkarni,Scheduled,Every 6 months
VC0332,DS083,HS,Haemorrhagic Septicaemia,2026-01-14,2027-01-14,HS-2582,Dr. R. Deshpande,Completed,Every 12 months
VC0333,DS083,BQ,Black Quarter,2026-04-01,2027-04-01,BQ-2536,Dr. R. Deshpande,Completed,Every 12 months
VC0334,DS083,LSD,Lumpy Skin Disease,2026-06-24,2027-06-24,LSD-2604,Dr. A. Kulkarni,Completed,Every 12 months
VC0335,DS084,FMD,Foot-and-Mouth Disease,2026-07-07,2027-01-05,FMD-2565,Dr. P. Naik,Completed,Every 6 months
VC0336,DS084,HS,Haemorrhagic Septicaemia,2026-08-17,2027-08-17,HS-2523,Dr. P. Naik,Completed,Every 12 months
VC0337,DS084,BQ,Black Quarter,2025-12-01,2026-12-01,BQ-2597,Dr. V. Thorat,Completed,Every 12 months
VC0338,DS084,LSD,Lumpy Skin Disease,,,,,Due,
VC0339,DS085,FMD,Foot-and-Mouth Disease,2026-07-09,2027-01-07,FMD-2567,Dr. A. Kulkarni,Completed,Every 6 months
VC0340,DS085,HS,Haemorrhagic Septicaemia,2026-01-18,2027-01-18,HS-2567,Dr. R. Deshpande,Completed,Every 12 months
VC0341,DS085,BQ,Black Quarter,2026-07-15,2027-07-15,BQ-2607,Dr. S. Joshi,Completed,Every 12 months
VC0342,DS085,LSD,Lumpy Skin Disease,2026-05-11,2027-05-11,LSD-2535,Dr. P. Naik,Completed,Every 12 months
VC0343,DS086,FMD,Foot-and-Mouth Disease,2026-04-05,2026-10-04,FMD-2551,Dr. V. Thorat,Scheduled,Every 6 months
VC0344,DS086,HS,Haemorrhagic Septicaemia,2026-02-09,2027-02-09,HS-2561,Dr. A. Kulkarni,Completed,Every 12 months
VC0345,DS086,BQ,Black Quarter,2026-02-25,2027-02-25,BQ-2534,Dr. S. Joshi,Completed,Every 12 months
VC0346,DS086,LSD,Lumpy Skin Disease,,,,,Due,
VC0347,DS087,FMD,Foot-and-Mouth Disease,2026-08-24,2027-02-22,FMD-2564,Dr. A. Kulkarni,Completed,Every 6 months
VC0348,DS087,HS,Haemorrhagic Septicaemia,2025-11-06,2026-11-06,HS-2507,Dr. V. Thorat,Completed,Every 12 months
VC0349,DS087,BQ,Black Quarter,2026-04-30,2027-04-30,BQ-2608,Dr. V. Thorat,Completed,Every 12 months
VC0350,DS087,Brucellosis,Brucellosis,2026-07-20,,Brucellosis-2574,Dr. P. Naik,Completed,One-time (calfhood)
VC0351,DS087,LSD,Lumpy Skin Disease,2025-12-04,2026-12-04,LSD-2526,Dr. A. Kulkarni,Completed,Every 12 months
VC0352,DS088,FMD,Foot-and-Mouth Disease,2026-06-12,2026-12-11,FMD-2580,Dr. S. Joshi,Completed,Every 6 months
VC0353,DS088,HS,Haemorrhagic Septicaemia,2026-04-14,2027-04-14,HS-2554,Dr. S. Joshi,Completed,Every 12 months
VC0354,DS088,BQ,Black Quarter,2026-08-06,2027-08-06,BQ-2602,Dr. S. Joshi,Completed,Every 12 months
VC0355,DS088,LSD,Lumpy Skin Disease,2026-01-08,2027-01-08,LSD-2576,Dr. S. Joshi,Completed,Every 12 months
VC0356,DS089,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0357,DS089,HS,Haemorrhagic Septicaemia,2026-05-22,2027-05-22,HS-2595,Dr. R. Deshpande,Completed,Every 12 months
VC0358,DS089,BQ,Black Quarter,2026-03-30,2027-03-30,BQ-2532,Dr. A. Kulkarni,Completed,Every 12 months
VC0359,DS089,LSD,Lumpy Skin Disease,,,,,Due,
VC0360,DS090,FMD,Foot-and-Mouth Disease,2026-07-17,2027-01-15,FMD-2563,Dr. P. Naik,Completed,Every 6 months
VC0361,DS090,HS,Haemorrhagic Septicaemia,2025-12-29,2026-12-29,HS-2548,Dr. A. Kulkarni,Completed,Every 12 months
VC0362,DS090,BQ,Black Quarter,2026-06-14,2027-06-14,BQ-2523,Dr. M. Sawant,Completed,Every 12 months
VC0363,DS090,LSD,Lumpy Skin Disease,2026-06-18,2027-06-18,LSD-2611,Dr. M. Sawant,Completed,Every 12 months
VC0364,DS091,FMD,Foot-and-Mouth Disease,2026-08-31,2027-03-01,FMD-2600,Dr. M. Sawant,Completed,Every 6 months
VC0365,DS091,HS,Haemorrhagic Septicaemia,2026-05-06,2027-05-06,HS-2532,Dr. S. Joshi,Completed,Every 12 months
VC0366,DS091,BQ,Black Quarter,2026-05-13,2027-05-13,BQ-2577,Dr. M. Sawant,Completed,Every 12 months
VC0367,DS091,Brucellosis,Brucellosis,2025-12-25,,Brucellosis-2604,Dr. R. Deshpande,Completed,One-time (calfhood)
VC0368,DS091,LSD,Lumpy Skin Disease,2026-02-01,2027-02-01,LSD-2540,Dr. R. Deshpande,Completed,Every 12 months
VC0369,DS092,FMD,Foot-and-Mouth Disease,2026-07-05,2027-01-03,FMD-2511,Dr. M. Sawant,Completed,Every 6 months
VC0370,DS092,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0371,DS092,BQ,Black Quarter,2026-02-12,2027-02-12,BQ-2548,Dr. R. Deshpande,Completed,Every 12 months
VC0372,DS092,LSD,Lumpy Skin Disease,2025-12-29,2026-12-29,LSD-2511,Dr. V. Thorat,Completed,Every 12 months
VC0373,DS093,FMD,Foot-and-Mouth Disease,2026-07-13,2027-01-11,FMD-2563,Dr. A. Kulkarni,Completed,Every 6 months
VC0374,DS093,HS,Haemorrhagic Septicaemia,2026-09-07,2027-09-07,HS-2606,Dr. P. Naik,Completed,Every 12 months
VC0375,DS093,BQ,Black Quarter,2026-09-11,2027-09-11,BQ-2513,Dr. S. Joshi,Completed,Every 12 months
VC0376,DS093,LSD,Lumpy Skin Disease,,,,,Due,
VC0377,DS094,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0378,DS094,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0379,DS094,BQ,Black Quarter,,,,,Due,
VC0380,DS094,LSD,Lumpy Skin Disease,,,,,Due,
VC0381,DS095,FMD,Foot-and-Mouth Disease,2026-04-21,2026-10-20,FMD-2516,Dr. A. Kulkarni,Scheduled,Every 6 months
VC0382,DS095,HS,Haemorrhagic Septicaemia,2026-05-30,2027-05-30,HS-2573,Dr. S. Joshi,Completed,Every 12 months
VC0383,DS095,BQ,Black Quarter,2025-10-03,2026-10-03,BQ-2593,Dr. A. Kulkarni,Scheduled,Every 12 months
VC0384,DS095,Brucellosis,Brucellosis,2025-10-17,,Brucellosis-2554,Dr. S. Joshi,Completed,One-time (calfhood)
VC0385,DS095,LSD,Lumpy Skin Disease,2026-04-09,2027-04-09,LSD-2537,Dr. P. Naik,Completed,Every 12 months
VC0386,DS096,FMD,Foot-and-Mouth Disease,2026-05-10,2026-11-08,FMD-2606,Dr. V. Thorat,Completed,Every 6 months
VC0387,DS096,HS,Haemorrhagic Septicaemia,2026-09-04,2027-09-04,HS-2561,Dr. A. Kulkarni,Completed,Every 12 months
VC0388,DS096,BQ,Black Quarter,2025-10-13,2026-10-13,BQ-2528,Dr. P. Naik,Scheduled,Every 12 months
VC0389,DS096,LSD,Lumpy Skin Disease,,,,,Due,
VC0390,DS097,FMD,Foot-and-Mouth Disease,2026-07-23,2027-01-21,FMD-2596,Dr. V. Thorat,Completed,Every 6 months
VC0391,DS097,HS,Haemorrhagic Septicaemia,2026-06-01,2027-06-01,HS-2544,Dr. R. Deshpande,Completed,Every 12 months
VC0392,DS097,BQ,Black Quarter,2026-01-31,2027-01-31,BQ-2539,Dr. A. Kulkarni,Completed,Every 12 months
VC0393,DS097,LSD,Lumpy Skin Disease,2026-02-16,2027-02-16,LSD-2522,Dr. A. Kulkarni,Completed,Every 12 months
VC0394,DS098,FMD,Foot-and-Mouth Disease,2026-07-09,2027-01-07,FMD-2611,Dr. V. Thorat,Completed,Every 6 months
VC0395,DS098,HS,Haemorrhagic Septicaemia,2026-05-12,2027-05-12,HS-2587,Dr. R. Deshpande,Completed,Every 12 months
VC0396,DS098,BQ,Black Quarter,2026-07-15,2027-07-15,BQ-2539,Dr. P. Naik,Completed,Every 12 months
VC0397,DS098,LSD,Lumpy Skin Disease,2026-06-28,2027-06-28,LSD-2543,Dr. M. Sawant,Completed,Every 12 months
VC0398,DS099,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0399,DS099,HS,Haemorrhagic Septicaemia,2025-09-29,2026-09-29,HS-2563,Dr. V. Thorat,Scheduled,Every 12 months
VC0400,DS099,BQ,Black Quarter,2026-07-27,2027-07-27,BQ-2560,Dr. S. Joshi,Completed,Every 12 months
VC0401,DS099,LSD,Lumpy Skin Disease,2025-10-09,2026-10-09,LSD-2606,Dr. R. Deshpande,Scheduled,Every 12 months
VC0402,DS100,FMD,Foot-and-Mouth Disease,2026-04-08,2026-10-07,FMD-2518,Dr. P. Naik,Scheduled,Every 6 months
VC0403,DS100,HS,Haemorrhagic Septicaemia,2025-11-02,2026-11-02,HS-2529,Dr. S. Joshi,Completed,Every 12 months
VC0404,DS100,BQ,Black Quarter,,,,,Due,
VC0405,DS100,Brucellosis,Brucellosis,2025-12-06,,Brucellosis-2609,Dr. R. Deshpande,Completed,One-time (calfhood)
VC0406,DS100,LSD,Lumpy Skin Disease,2026-03-31,2027-03-31,LSD-2528,Dr. R. Deshpande,Completed,Every 12 months
VC0407,DS101,FMD,Foot-and-Mouth Disease,2026-05-11,2026-11-09,FMD-2572,Dr. A. Kulkarni,Completed,Every 6 months
VC0408,DS101,HS,Haemorrhagic Septicaemia,2026-01-09,2027-01-09,HS-2568,Dr. R. Deshpande,Completed,Every 12 months
VC0409,DS101,BQ,Black Quarter,2026-04-14,2027-04-14,BQ-2522,Dr. A. Kulkarni,Completed,Every 12 months
VC0410,DS101,LSD,Lumpy Skin Disease,2026-06-06,2027-06-06,LSD-2560,Dr. P. Naik,Completed,Every 12 months
VC0411,DS102,FMD,Foot-and-Mouth Disease,2026-08-22,2027-02-20,FMD-2525,Dr. R. Deshpande,Completed,Every 6 months
VC0412,DS102,HS,Haemorrhagic Septicaemia,2026-08-19,2027-08-19,HS-2532,Dr. A. Kulkarni,Completed,Every 12 months
VC0413,DS102,BQ,Black Quarter,2026-06-28,2027-06-28,BQ-2538,Dr. M. Sawant,Completed,Every 12 months
VC0414,DS102,LSD,Lumpy Skin Disease,,,,,Due,
VC0415,DS103,FMD,Foot-and-Mouth Disease,2026-04-16,2026-10-15,FMD-2561,Dr. A. Kulkarni,Scheduled,Every 6 months
VC0416,DS103,HS,Haemorrhagic Septicaemia,2026-04-03,2027-04-03,HS-2584,Dr. V. Thorat,Completed,Every 12 months
VC0417,DS103,BQ,Black Quarter,2026-07-29,2027-07-29,BQ-2527,Dr. S. Joshi,Completed,Every 12 months
VC0418,DS103,Brucellosis,Brucellosis,2026-04-26,,Brucellosis-2565,Dr. S. Joshi,Completed,One-time (calfhood)
VC0419,DS103,LSD,Lumpy Skin Disease,2026-04-11,2027-04-11,LSD-2507,Dr. V. Thorat,Completed,Every 12 months
VC0420,DS104,FMD,Foot-and-Mouth Disease,2026-06-24,2026-12-23,FMD-2513,Dr. V. Thorat,Completed,Every 6 months
VC0421,DS104,HS,Haemorrhagic Septicaemia,2026-03-24,2027-03-24,HS-2591,Dr. V. Thorat,Completed,Every 12 months
VC0422,DS104,BQ,Black Quarter,2026-08-24,2027-08-24,BQ-2605,Dr. A. Kulkarni,Completed,Every 12 months
VC0423,DS104,LSD,Lumpy Skin Disease,,,,,Due,
VC0424,DS105,FMD,Foot-and-Mouth Disease,2026-07-07,2027-01-05,FMD-2543,Dr. V. Thorat,Completed,Every 6 months
VC0425,DS105,HS,Haemorrhagic Septicaemia,2026-03-08,2027-03-08,HS-2563,Dr. P. Naik,Completed,Every 12 months
VC0426,DS105,BQ,Black Quarter,2025-11-07,2026-11-07,BQ-2549,Dr. R. Deshpande,Completed,Every 12 months
VC0427,DS105,LSD,Lumpy Skin Disease,,,,,Due,
VC0428,DS106,FMD,Foot-and-Mouth Disease,2026-04-19,2026-10-18,FMD-2529,Dr. S. Joshi,Scheduled,Every 6 months
VC0429,DS106,HS,Haemorrhagic Septicaemia,2026-02-09,2027-02-09,HS-2577,Dr. R. Deshpande,Completed,Every 12 months
VC0430,DS106,BQ,Black Quarter,2025-12-09,2026-12-09,BQ-2599,Dr. S. Joshi,Completed,Every 12 months
VC0431,DS106,LSD,Lumpy Skin Disease,2025-12-17,2026-12-17,LSD-2540,Dr. P. Naik,Completed,Every 12 months
VC0432,DS107,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0433,DS107,HS,Haemorrhagic Septicaemia,2025-12-30,2026-12-30,HS-2611,Dr. A. Kulkarni,Completed,Every 12 months
VC0434,DS107,BQ,Black Quarter,2026-07-07,2027-07-07,BQ-2608,Dr. R. Deshpande,Completed,Every 12 months
VC0435,DS107,LSD,Lumpy Skin Disease,2026-06-24,2027-06-24,LSD-2609,Dr. M. Sawant,Completed,Every 12 months
VC0436,DS108,FMD,Foot-and-Mouth Disease,2026-05-14,2026-11-12,FMD-2569,Dr. P. Naik,Completed,Every 6 months
VC0437,DS108,HS,Haemorrhagic Septicaemia,2026-02-20,2027-02-20,HS-2515,Dr. A. Kulkarni,Completed,Every 12 months
VC0438,DS108,BQ,Black Quarter,2026-02-26,2027-02-26,BQ-2555,Dr. S. Joshi,Completed,Every 12 months
VC0439,DS108,LSD,Lumpy Skin Disease,,,,,Due,
VC0440,DS109,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0441,DS109,HS,Haemorrhagic Septicaemia,2026-09-03,2027-09-03,HS-2561,Dr. R. Deshpande,Completed,Every 12 months
VC0442,DS109,BQ,Black Quarter,2025-12-03,2026-12-03,BQ-2592,Dr. P. Naik,Completed,Every 12 months
VC0443,DS109,LSD,Lumpy Skin Disease,2026-07-09,2027-07-09,LSD-2612,Dr. M. Sawant,Completed,Every 12 months
VC0444,DS110,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0445,DS110,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0446,DS110,BQ,Black Quarter,,,,,Due,
VC0447,DS110,LSD,Lumpy Skin Disease,2026-04-01,2027-04-01,LSD-2504,Dr. V. Thorat,Completed,Every 12 months
VC0448,DS111,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0449,DS111,HS,Haemorrhagic Septicaemia,2026-07-01,2027-07-01,HS-2506,Dr. M. Sawant,Completed,Every 12 months
VC0450,DS111,BQ,Black Quarter,2026-06-10,2027-06-10,BQ-2518,Dr. P. Naik,Completed,Every 12 months
VC0451,DS111,LSD,Lumpy Skin Disease,,,,,Due,
VC0452,DS112,FMD,Foot-and-Mouth Disease,2026-03-26,2026-09-24,FMD-2519,Dr. R. Deshpande,Scheduled,Every 6 months
VC0453,DS112,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0454,DS112,BQ,Black Quarter,2026-09-08,2027-09-08,BQ-2556,Dr. V. Thorat,Completed,Every 12 months
VC0455,DS112,LSD,Lumpy Skin Disease,2025-09-28,2026-09-28,LSD-2504,Dr. M. Sawant,Scheduled,Every 12 months
VC0456,DS113,FMD,Foot-and-Mouth Disease,2026-04-23,2026-10-22,FMD-2508,Dr. P. Naik,Completed,Every 6 months
VC0457,DS113,HS,Haemorrhagic Septicaemia,2025-12-07,2026-12-07,HS-2535,Dr. A. Kulkarni,Completed,Every 12 months
